px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	v_true	yaw_angle_true	yaw_rate_true	vx_true	vy_true	NIS
0.00357021	-0.00337035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303134
1.43407	-0.00350833	1.72937	2.71388e-17	2.59824e-17	1.55945	-0.138501	2.09897	0.0522228	2.19867	0.0497502	0	2.19595	0.109339	9.48043	0
1.51493	-0.00223485	1.88046	-0.000985676	-0.000496907	1.81209	0.0474826	2.09897	0.0522228	2.19867	0.0497502	0	2.19595	0.109339	0	2.85077
3.81836	-0.0882286	2.90096	-0.452462	0.00779175	3.89093	-0.134166	4.29136	0.215312	2.29552	0.0987536	0	2.28434	0.226323	6.03839	0
3.89751	0.0657104	2.97178	0.395288	-0.0686229	4.19528	0.218461	4.29136	0.215312	2.29552	0.0987536	0	2.28434	0.226323	0	4.26032
6.83571	0.412173	3.49944	0.22674	0.216534	6.86352	0.416817	6.56942	0.496096	2.38942	0.14652	0	2.36382	0.348847	0.767332	0
6.72849	0.430478	3.12225	0.360432	0.46517	6.43926	0.472879	6.56942	0.496096	2.38942	0.14652	0	2.36382	0.348847	0	2.71419
9.09113	0.611303	2.84309	0.15085	-0.000372796	9.07733	0.593211	8.92437	0.89924	2.47943	0.192573	0	2.43359	0.474526	0.675244	0
9.0402	0.670229	2.64433	0.199658	0.0332861	8.89749	0.886982	8.92437	0.89924	2.47943	0.192573	0	2.43359	0.474526	0	1.38201
11.5687	1.63856	2.78705	0.421261	0.147818	11.5756	1.6669	11.3468	1.427	2.56464	0.236452	0	2.49328	0.600781	0.554836	0
11.535	1.60687	2.6652	0.413764	0.147259	11.4447	1.42958	11.3468	1.427	2.56464	0.236452	0	2.49328	0.600781	0	0.536279
13.6233	2.3497	2.18412	0.406839	0.0556889	13.5921	2.31191	13.827	2.07905	2.64422	0.277719	0	2.5429	0.724947	1.2227	0
13.6583	2.32125	2.4488	0.378449	0.0335742	13.6572	1.99915	13.827	2.07905	2.64422	0.277719	0	2.5429	0.724947	0	1.41612
16.5673	2.92173	3.0551	0.124724	-0.144546	16.6456	2.903	16.3554	2.85243	2.71736	0.315961	0	2.58284	0.844365	2.98645	0
16.4985	2.90188	2.83787	0.127533	-0.143826	16.282	2.84648	16.3554	2.85243	2.71736	0.315961	0	2.58284	0.844365	0	1.01822
19.033	3.67209	2.62258	0.263587	0.0246245	19.0106	3.70555	18.923	3.74161	2.78333	0.350797	0	2.61382	0.95648	1.22352	0
19.0834	3.69263	2.58721	0.272965	0.0328857	19.363	3.87122	18.923	3.74161	2.78333	0.350797	0	2.61382	0.95648	0	1.35179
21.3477	4.71212	2.49314	0.463426	0.131277	21.3312	4.73205	21.5215	4.73855	2.84147	0.381877	0	2.63679	1.05891	0.411153	0
21.423	4.72205	2.76769	0.44986	0.117369	21.6213	4.74762	21.5215	4.73855	2.84147	0.381877	0	2.63679	1.05891	0	1.1427
24.0566	5.5942	2.80219	0.328543	-0.0289404	24.0787	5.56967	24.1437	5.83295	2.89121	0.408893	0	2.65286	1.14953	0.808678	0
24.1687	5.63011	3.04345	0.315993	-0.0382185	24.5601	5.92334	24.1437	5.83295	2.89121	0.408893	0	2.65286	1.14953	0	3.11432
26.6411	6.94271	2.77599	0.498054	0.0978576	26.6052	6.96102	26.7833	7.01246	2.93204	0.431572	0	2.6632	1.22647	1.02779	0
26.6471	6.93847	2.95744	0.488368	0.084725	26.5419	6.90075	26.7833	7.01246	2.93204	0.431572	0	2.6632	1.22647	0	0.515074
29.5475	8.10006	3.19575	0.368761	-0.0464663	29.5864	8.08789	29.4352	8.26299	2.96356	0.44969	0	2.66893	1.28822	0.93952	0
29.5296	8.09741	3.09106	0.37317	-0.0429259	29.4716	8.24519	29.4352	8.26299	2.96356	0.44969	0	2.66893	1.28822	0	0.132483
31.9732	9.84685	2.94003	0.658064	0.162079	31.9416	9.88017	32.0955	9.56901	2.98545	0.463065	0	2.67105	1.33358	1.69351	0
